Rank,Features_used,recall train,precision train,recall test,precision test
1,"chi_squared,Word2vec",0.96,0.84,0.92,0.72
2,"non_Nlp,wordsearch,chi_squared",0.9,0.83,0.91,0.73
2,"non_Nlp,wordsearch,LDA,chi_squared",0.89,0.83,0.91,0.73
4,"wordsearch,LDA,chi_squared,bert",0.95,0.85,0.91,0.71
5,"non_Nlp,bert,Word2vec",0.95,0.84,0.9,0.73
7,"wordsearch,chi_squared,bert",0.94,0.84,0.9,0.7
7,"wordsearch,chi_squared,bert,Word2vec",0.94,0.86,0.9,0.7
7,"non_Nlp,chi_squared,bert,Word2vec",0.93,0.85,0.9,0.7
9,Word2vec,0.93,0.84,0.9,0.69
10,"wordsearch,Word2vec",0.88,0.86,0.88,0.72
10,"non_Nlp,LDA,Word2vec",0.92,0.85,0.88,0.72
12,"non_Nlp,chi_squared,Word2vec",0.94,0.85,0.88,0.71
13,"non_Nlp,chi_squared,bert",0.91,0.85,0.88,0.7
14,"wordsearch,LDA,chi_squared",0.92,0.83,0.88,0.69
15,"non_Nlp,wordsearch",0.87,0.85,0.87,0.75
16,bert,0.93,0.84,0.87,0.69
17,"LDA,chi_squared",0.94,0.82,0.87,0.68
18,wordsearch,0.83,0.84,0.86,0.74
18,"non_Nlp,wordsearch,chi_squared,bert",0.88,0.87,0.86,0.74
21,"LDA,chi_squared,Word2vec",0.91,0.87,0.86,0.72
21,"LDA,chi_squared,bert,Word2vec",0.92,0.88,0.86,0.72
21,"wordsearch,LDA,Word2vec",0.91,0.86,0.86,0.72
23,"LDA,chi_squared,bert",0.93,0.87,0.86,0.71
24,"chi_squared,bert",0.94,0.87,0.86,0.69
25,"non_Nlp,wordsearch,chi_squared,Word2vec",0.9,0.86,0.85,0.75
26,"non_Nlp,wordsearch,LDA,bert,Word2vec",0.91,0.87,0.85,0.74
28,"non_Nlp,Word2vec",0.91,0.85,0.85,0.73
28,"non_Nlp,LDA,chi_squared,Word2vec",0.91,0.86,0.85,0.73
28,"non_Nlp,wordsearch,LDA,chi_squared,Word2vec",0.92,0.86,0.85,0.73
28,"non_Nlp,wordsearch,LDA,chi_squared,bert",0.88,0.88,0.85,0.73
31,"chi_squared,bert,Word2vec",0.92,0.86,0.85,0.72
32,"bert,Word2vec",0.91,0.86,0.85,0.7
32,"non_Nlp,wordsearch,chi_squared,bert,Word2vec",0.92,0.87,0.85,0.7
34,"LDA,bert",0.91,0.85,0.85,0.69
35,"wordsearch,LDA,chi_squared,bert,Word2vec",0.87,0.88,0.84,0.72
35,"non_Nlp,wordsearch,bert,Word2vec",0.9,0.87,0.84,0.72
37,"wordsearch,LDA,chi_squared,Word2vec",0.91,0.88,0.84,0.71
38,"non_Nlp,wordsearch,Word2vec",0.86,0.88,0.83,0.76
39,"wordsearch,chi_squared,Word2vec",0.89,0.89,0.83,0.71
40,"LDA,bert,Word2vec",0.91,0.86,0.83,0.7
40,"wordsearch,LDA,bert",0.89,0.88,0.83,0.7
42,"wordsearch,bert,Word2vec",0.89,0.87,0.83,0.69
43,"non_Nlp,LDA",0.84,0.84,0.82,0.75
44,"non_Nlp,bert",0.86,0.87,0.82,0.74
45,"non_Nlp,wordsearch,LDA,chi_squared,bert,Word2vec",0.91,0.88,0.82,0.73
46,"wordsearch,LDA",0.84,0.84,0.82,0.72
47,"non_Nlp,LDA,bert",0.89,0.86,0.82,0.7
48,"non_Nlp,wordsearch,LDA",0.82,0.88,0.81,0.79
49,"non_Nlp,LDA,bert,Word2vec",0.86,0.89,0.81,0.77
50,"non_Nlp,LDA,chi_squared,bert",0.89,0.88,0.81,0.74
50,"non_Nlp,wordsearch,LDA,Word2vec",0.87,0.88,0.81,0.74
52,"wordsearch,chi_squared",0.8,0.89,0.81,0.73
53,"wordsearch,LDA,bert,Word2vec",0.9,0.87,0.81,0.71
54,"wordsearch,bert",0.87,0.88,0.81,0.69
55,"non_Nlp,wordsearch,bert",0.86,0.89,0.8,0.74
55,"non_Nlp,wordsearch,LDA,bert",0.88,0.88,0.8,0.74
57,"non_Nlp,LDA,chi_squared,bert,Word2vec",0.89,0.88,0.8,0.71
58,non_Nlp,0.81,0.85,0.79,0.78
59,"non_Nlp,LDA,chi_squared",0.82,0.86,0.79,0.76
60,"non_Nlp,chi_squared",0.83,0.85,0.79,0.75
61,"LDA,Word2vec",0.85,0.88,0.75,0.73
62,LDA,0.88,0.81,0.75,0.7
63,chi_squared,0.62,0.88,0.73,0.76
